timestamp, Room, message
2023-09-05 12:47:21, Conf 29E 55, 1
2023-09-05 12:47:21, Conf 29W 24, 1
2023-09-05 12:47:21, Conf 30E 55, 1
2023-09-05 12:47:21, Conf 30E 02, 1
2023-09-05 12:47:21, Conf 30W 09, 1
2023-09-05 12:47:21, MP TR B, 1
2023-09-05 12:47:21, MP TR A, 0
2023-09-05 12:47:21, MP 6002, 1
2023-09-05 12:47:21, MP 6003, 1
2023-09-05 12:47:21, MP 6107, 1
2023-09-05 12:47:21, MP 6203, 1
2023-09-05 12:47:21, MP 6255, 1
2023-09-05 12:47:21, MP 6309, 1
2023-09-05 12:47:21, MP 6310, 1
2023-09-05 12:47:21, MP 7107, 1
2023-09-05 12:47:21, MP 7201, 1
2023-09-05 12:47:21, MP 7202, 1
2023-09-05 12:47:21, MP 7310, 1
2023-09-05 12:47:21, MP 7366, 1
2023-09-05 12:47:21, MP 8309, 1
2023-09-05 12:47:21, MP 8322, 1
2023-09-05 12:47:21, MC 6.52, 1
2023-09-05 12:47:21, Liberty, 1
2023-09-05 12:47:21, Wall St, 1
2023-09-05 12:47:21, Grammercy, 1
2023-09-05 12:47:21, MC 7.85, 1
2023-09-05 12:47:21, High Line, 1
2023-09-05 12:47:21, Union Square, 1
2023-09-05 12:47:21, MC 8.52, 1
2023-09-05 12:47:21, Rock Center, 1
2023-09-05 12:47:21, Bryant Park, 1
2023-09-05 12:47:21, MC 9.52, 1
2023-09-05 12:47:21, Moma, 1
2023-09-05 12:47:21, Columbus Circle, 1
2023-09-05 12:47:21, MC 10.52, 1
2023-09-05 12:47:21, The Met, 1
2023-09-05 12:47:21, Apollo, 1
2023-09-05 12:04:20, Conf 29E 55, 1
2023-09-05 12:04:20, Conf 29W 24, 1
2023-09-05 12:04:20, Conf 30E 55, 1
2023-09-05 12:04:20, Conf 30E 02, 1
2023-09-05 12:04:20, Conf 30W 09, 1
2023-09-05 12:04:20, MP TR B, 1
2023-09-05 12:04:20, MP TR A, 0
2023-09-05 12:04:20, MP 6002, 1
2023-09-05 12:04:20, MP 6003, 1
2023-09-05 12:04:20, MP 6107, 1
2023-09-05 12:04:20, MP 6203, 1
2023-09-05 12:04:20, MP 6255, 1
2023-09-05 12:04:20, MP 6309, 1
2023-09-05 12:04:20, MP 6310, 1
2023-09-05 12:04:20, MP 7107, 1
2023-09-05 12:04:20, MP 7201, 1
2023-09-05 12:04:20, MP 7202, 1
2023-09-05 12:04:20, MP 7310, 1
2023-09-05 12:04:20, MP 7366, 1
2023-09-05 12:04:20, MP 8309, 1
2023-09-05 12:04:20, MP 8322, 1
2023-09-05 12:04:20, MC 6.52, 1
2023-09-05 12:04:20, Liberty, 1
2023-09-05 12:04:20, Wall St, 1
2023-09-05 12:04:20, Grammercy, 1
2023-09-05 12:04:20, MC 7.85, 1
2023-09-05 12:04:20, High Line, 1
2023-09-05 12:04:20, Union Square, 1
2023-09-05 12:04:20, MC 8.52, 1
2023-09-05 12:04:20, Rock Center, 1
2023-09-05 12:04:20, Bryant Park, 1
2023-09-05 12:04:20, MC 9.52, 1
2023-09-05 12:04:20, Moma, 1
2023-09-05 12:04:20, Columbus Circle, 1
2023-09-05 12:04:20, MC 10.52, 1
2023-09-05 12:04:20, The Met, 1
2023-09-05 12:04:20, Apollo, 1
2023-09-05 10:19:38, Conf 29E 55, 1
